"","uf","ESPVIDA2017"
"1","Acre",74.25
"2","Alagoas",71.97
"3","Amapá",74.19
"4","Amazônas",72.14
"5","Bahia",73.71
"6","Ceará",74.07
"7","Distrito Federal",78.37
"8","Espírito Santo",76.02
"9","Goiás",74.34
"10","Maranhão",70.85
"11","Mato Grosso do Sul",75.8
"12","Mato Grosso",74.47
"13","Minas Gerais",77.49
"14","Paraíba",73.53
"15","Paraná",75.55
"16","Pará",72.29
"17","Pernambuco",74.27
"18","Piauí",71.23
"19","Rio de Janeiro",76.48
"20","Rio Grande do Norte",75.96
"21","Rio Grande do Sul",75.95
"22","Rondônia",71.53
"23","Roraima",71.84
"24","Santa Catarina",76.97
"25","São Paulo",76.26
"26","Sergipe",72.92
"27","Tocantins",73.65
